,Env,Learning Freq.,Target Update Freq.,Step Size,Buffer Size,Num Episodes,Algorithm
75,MountainCar-v0,1,1000,0.005,100000,200.0,"FFN, 10"
76,MountainCar-v0,1,1000,5e-05,10000,199.65,"FFN, 10"
77,MountainCar-v0,1,1000,5e-05,100000,200.0,"FFN, 10"
78,MountainCar-v0,10,10,0.0005,10000,197.1,"FFN, 10"
79,MountainCar-v0,10,10,0.0005,100000,200.0,"FFN, 10"
80,MountainCar-v0,10,10,0.005,10000,200.0,"FFN, 10"
81,MountainCar-v0,10,10,0.005,100000,200.0,"FFN, 10"
82,MountainCar-v0,10,10,5e-05,10000,200.0,"FFN, 10"
83,MountainCar-v0,10,10,5e-05,100000,200.0,"FFN, 10"
84,MountainCar-v0,10,100,0.0005,10000,198.73999999999998,"FFN, 10"
85,MountainCar-v0,10,100,0.0005,100000,200.0,"FFN, 10"
86,MountainCar-v0,10,100,0.005,10000,191.25,"FFN, 10"
87,MountainCar-v0,10,100,0.005,100000,180.7,"FFN, 10"
88,MountainCar-v0,10,100,5e-05,10000,200.0,"FFN, 10"
89,MountainCar-v0,10,100,5e-05,100000,200.0,"FFN, 10"
90,MountainCar-v0,10,1000,0.0005,10000,199.09,"FFN, 10"
91,MountainCar-v0,10,1000,0.0005,100000,200.0,"FFN, 10"
92,MountainCar-v0,10,1000,0.005,10000,185.7,"FFN, 10"
93,MountainCar-v0,10,1000,0.005,100000,190.12,"FFN, 10"
94,MountainCar-v0,10,1000,5e-05,10000,200.0,"FFN, 10"
95,MountainCar-v0,10,1000,5e-05,100000,200.0,"FFN, 10"
96,MountainCar-v0,100,100,0.0005,10000,199.94,"FFN, 10"
97,MountainCar-v0,100,100,0.0005,100000,200.0,"FFN, 10"
98,MountainCar-v0,100,100,0.005,10000,200.0,"FFN, 10"
99,MountainCar-v0,100,100,0.005,100000,200.0,"FFN, 10"
100,MountainCar-v0,100,100,5e-05,10000,200.0,"FFN, 10"
101,MountainCar-v0,100,100,5e-05,100000,200.0,"FFN, 10"
102,MountainCar-v0,100,1000,0.0005,10000,200.0,"FFN, 10"
103,MountainCar-v0,100,1000,0.0005,100000,200.0,"FFN, 10"
104,MountainCar-v0,100,1000,0.005,10000,200.0,"FFN, 10"
105,MountainCar-v0,100,1000,0.005,100000,200.0,"FFN, 10"
106,MountainCar-v0,100,1000,5e-05,10000,200.0,"FFN, 10"
107,MountainCar-v0,100,1000,5e-05,100000,200.0,"FFN, 10"
108,MountainCar1000-v0,1,1,0.0005,10000,998.72,"FFN, 10"
109,MountainCar1000-v0,1,1,0.0005,100000,1000.0,"FFN, 10"
110,MountainCar1000-v0,1,1,0.005,10000,1000.0,"FFN, 10"
111,MountainCar1000-v0,1,1,0.005,100000,1000.0,"FFN, 10"
112,MountainCar1000-v0,1,1,5e-05,10000,972.74,"FFN, 10"
113,MountainCar1000-v0,1,1,5e-05,100000,997.97,"FFN, 10"
114,MountainCar1000-v0,1,10,0.0005,10000,981.39,"FFN, 10"
115,MountainCar1000-v0,1,10,0.0005,100000,994.15,"FFN, 10"
116,MountainCar1000-v0,1,10,0.005,10000,999.9200000000001,"FFN, 10"
117,MountainCar1000-v0,1,10,0.005,100000,995.9599999999998,"FFN, 10"
118,MountainCar1000-v0,1,10,5e-05,10000,988.46,"FFN, 10"
119,MountainCar1000-v0,1,10,5e-05,100000,950.61,"FFN, 10"
